TX Date,Curve_Day,TX New Cases ,TX New Cases_m1_days,TX New Cases_m2_days,TX New Cases_m3_days,TX New Cases_m4_days,TX New Cases_m5_days,TX New Cases_m6_days,TX New Cases_m7_days,TX Pop Pct,TX_Pop_Pct_m1,TX_Pop_Pct_m2,TX_Pop_Pct_m3,TX_Pop_Pct_m4,TX_Pop_Pct_m5,TX_Pop_Pct_m6,TX_Pop_Pct_m7,TX 3Day Avg Pop Pct,TX 7Day Avg Pop Pct,TX Pct Change,TX_Pct_Change_m1,TX_Pct_Change_m2,TX_Pct_Change_m3,TX_Pct_Change_m4,TX_Pct_Change_m5,TX_Pct_Change_m6,TX_Pct_Change_m7,TX 3Day Avg Pct Chg,TX 7Day Avg Pct Chg
7/7/2020,19,9828,,,,,,,,0.000328696,,,,,,,,,,,,,,,,,,,
7/8/2020,20,10649,,,,,,,,0.000356154,,,,,,,,,,,,,,,,,,,
7/9/2020,21,11901,,,,,,,,0.000398027,,,,,,,,,,,,,,,,,,,
7/10/2020,22,10554,,,,,,,,0.000352977,,,,,,,,,,,,,,,,,,,
7/11/2020,23,8674,,,,,,,,0.0002901,,,,,,,,,,,,,,,,,,,
7/12/2020,24,6363,,,,,,,,0.000212809,,,,,,,,,,,,,,,,,,,
7/13/2020,25,9457,,,,,,,,0.000316288,,,,,,,,,,,,,,,,,,,
7/14/2020,26,11514,,,,,,,,0.000385084,,,,,,,,,,,,,,,,,,,
7/15/2020,27,12490,,,,,,,,0.000417726,,,,,,,,,,,,,,,,,,,
7/16/2020,28,10243,,,,,,,,0.000342575,,,,,,,,,,,,,,,,,,,
7/17/2020,29,9496,,,,,,,,0.000317592,,,,,,,,,,,,,,,,,,,
7/18/2020,30,7945,,,,,,,,0.000265719,,,,,,,,,,,,,,,,,,,
7/19/2020,31,8709,,,,,,,,0.000291271,,,,,,,,,,,,,,,,,,,
7/20/2020,32,7925,,,,,,,,0.00026505,,,,,,,,,,,,,,,,,,,
7/21/2020,33,10331,,,,,,,,0.000345518,,,,,,,,,,,,,,,,,,,
7/22/2020,34,10528,,,,,,,,0.000352107,,,,,,,,,,,,,,,,,,,
7/23/2020,35,9402,,,,,,,,0.000314448,,,,,,,,,,,,,,,,,,,
7/24/2020,36,8552,,,,,,,,0.00028602,,,,,,,,,,,,,,,,,,,
7/25/2020,37,7735,,,,,,,,0.000258696,,,,,,,,,,,,,,,,,,,
7/26/2020,38,4309,,,,,,,,0.000144114,,,,,,,,,,,,,,,,,,,
